transaction_id,customer_id,product_id,store_id,sale_date,quantity,total_amount
1,9855,191,35,2025-05-09,2,236.7
2,7043,192,18,2024-12-10,3,974.1
3,973,123,37,2024-10-22,5,1830.9
4,7691,54,38,2024-06-21,1,495.34
5,9392,101,12,2024-06-25,1,157.76
6,9075,18,47,2024-10-25,4,659.24
7,191,126,42,2025-01-26,1,123.48
8,5779,24,14,2024-08-07,3,1408.05
9,4810,156,20,2025-03-05,5,493.45
10,6767,38,39,2025-02-06,4,258.0
11,7136,118,23,2024-08-30,5,1558.7
12,9660,54,26,2024-08-09,2,990.68
13,7728,190,45,2025-03-16,1,146.92
14,6591,9,16,2024-09-19,4,1341.84
15,2954,90,44,2025-02-23,4,1697.08
16,9334,155,25,2025-04-15,5,558.9
17,6150,200,6,2024-08-19,3,679.8
18,4622,142,40,2024-12-22,2,259.18
19,7626,40,38,2024-06-07,5,2285.9
20,6214,132,34,2024-07-28,1,251.63
21,9973,9,41,2024-06-15,5,1677.3
22,1679,189,50,2024-12-19,3,1206.48
23,3554,30,15,2024-10-19,4,431.08
24,5096,100,14,2025-04-21,1,178.71
25,5243,198,16,2024-06-27,3,1210.23
26,8174,195,44,2025-04-23,3,67.8
27,2256,150,6,2025-03-26,1,24.04
28,1143,29,48,2024-11-29,4,1452.0
29,9695,127,46,2025-01-30,4,467.44
30,3083,70,43,2025-01-09,3,963.42
31,9450,114,37,2024-09-20,1,458.98
32,6381,200,19,2024-07-23,4,906.4
33,8950,162,9,2024-09-12,5,2242.9
34,3073,171,6,2024-06-21,5,2408.6
35,4624,193,41,2024-06-12,3,1001.13
36,270,56,13,2025-01-15,5,1769.0
37,139,23,18,2024-12-01,1,194.71
38,2617,7,34,2024-11-01,3,1390.77
39,8606,15,9,2024-08-24,3,268.32
40,8767,199,23,2024-10-30,4,1017.8
41,5638,13,18,2025-03-13,3,1069.17
42,2348,177,3,2024-10-03,4,496.6
43,6380,174,5,2025-01-21,2,976.12
44,3988,47,2,2024-07-02,2,982.7
45,5927,125,22,2024-11-09,5,2170.05
46,9356,81,12,2024-08-21,2,558.24
47,5270,23,31,2025-04-03,1,194.71
48,4939,161,44,2025-02-21,1,349.41
49,367,20,22,2024-09-18,2,716.72
50,2881,2,7,2024-11-29,4,1327.24
51,5898,14,11,2025-03-04,3,733.29
52,7026,74,17,2025-02-11,1,427.02
53,1726,130,14,2024-08-21,4,1587.68
54,2594,22,10,2025-04-19,3,1116.72
55,2268,115,12,2024-09-27,2,965.84
56,1454,7,8,2024-12-04,1,463.59
57,8373,80,40,2025-01-23,2,991.62
58,4468,146,15,2024-07-10,3,323.13
59,5461,123,34,2024-09-28,2,732.36
60,4873,188,24,2025-01-27,1,33.93
61,5873,101,34,2024-10-08,2,315.52
62,6396,108,4,2024-08-17,4,999.44
63,2797,37,42,2024-12-23,4,1998.08
64,9657,141,5,2024-07-14,5,605.4
65,3055,24,19,2025-02-21,3,1408.05
66,249,36,40,2024-07-28,5,32.35
67,5211,153,16,2024-06-01,2,494.86
68,9728,172,18,2024-07-15,1,182.69
69,2972,124,3,2024-08-21,1,337.21
70,4815,78,11,2024-12-29,5,722.95
71,227,149,49,2024-09-22,5,1239.95
72,5631,85,37,2024-07-25,2,581.06
73,8364,61,24,2024-05-12,4,251.76
74,8980,130,12,2024-09-13,3,1190.76
75,8461,5,7,2024-10-25,5,2209.25
76,5925,188,9,2024-11-25,5,169.65
77,7647,29,44,2024-11-05,2,726.0
78,7371,106,2,2025-02-16,1,384.1
79,6056,150,9,2025-02-02,3,72.12
80,3345,30,48,2024-09-08,2,215.54
81,248,159,2,2025-02-09,4,1588.2
82,4762,14,24,2025-02-18,3,733.29
83,9781,166,6,2024-09-30,1,276.8
84,9653,156,14,2025-04-16,2,197.38
85,4839,60,26,2024-12-23,3,70.05
86,3928,13,19,2024-08-12,4,1425.56
87,3541,107,14,2025-03-14,5,2374.7
88,8232,139,18,2025-01-29,3,1069.83
89,6938,66,28,2025-04-24,2,133.42
90,5571,191,39,2025-04-16,3,355.05
91,8487,33,20,2025-02-22,5,632.9
92,1886,141,24,2024-06-14,1,121.08
93,1197,131,3,2024-12-06,5,1758.15
94,1065,82,7,2025-03-10,4,1312.36
95,6709,128,41,2025-01-07,2,879.66
96,2182,77,50,2025-02-19,5,2397.25
97,5416,51,33,2025-05-09,3,712.53
98,8273,157,44,2025-03-25,4,501.52
99,7984,153,5,2025-01-07,3,742.29
100,8143,36,7,2024-06-11,1,6.47
101,8790,111,10,2024-07-03,3,123.72
102,3931,142,34,2025-04-06,5,647.95
103,7995,97,49,2024-09-13,2,40.5
104,7366,156,18,2024-09-21,5,493.45
105,7415,98,21,2024-12-13,5,542.3
106,5407,78,10,2025-02-18,5,722.95
107,8833,8,31,2024-11-23,4,1812.92
108,9981,24,12,2025-04-14,3,1408.05
109,2186,120,18,2024-09-03,5,1097.85
110,139,6,33,2025-04-15,3,765.33
111,5138,185,48,2025-03-12,4,890.6
112,7796,72,44,2025-02-19,1,53.0
113,405,35,9,2024-06-19,4,1521.24
114,7653,102,25,2024-11-09,3,301.29
115,2156,123,50,2025-04-24,1,366.18
116,5689,30,15,2024-07-20,1,107.77
